GEOID,filings_2020,filings_avg,racial_majority,month,ZIP,HUD Area Code_x,HUD Metro FMR Area Name_x,SAFMR22 2BR,SAFMR22 2BR 90% Pmt,SAFMR22 2BR 110% Pmt,HUD Area Code_y,HUD Metro FMR Area Name_y,SAFMR21 2BR,SAFMR21 2BR 90% Pmt,SAFMR21 2BR 110% Pmt,CBSASub20,HUD Metro FMR Area Name20,SAFMR20 2BR,SAFMR20 2BR 90% Pmt,SAFMR20 2BR 110% Pmt
10002,88,145.333333333333,Other,01/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,70,232.666666666667,Other,02/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,135,165.666666666667,Other,03/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,0,136.666666666667,Other,04/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,0,157.333333333333,Other,05/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,0,192.333333333333,Other,06/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,14,207.333333333333,Other,07/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,27,211.333333333333,Other,08/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,24,172.0,Other,09/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,24,139.666666666667,Other,10/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,48,212.0,Other,11/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,19,129.333333333333,Other,12/2020,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,2,145.333333333333,Other,01/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,2,232.0,Other,02/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,20,165.666666666667,Other,03/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,32,136.666666666667,Other,04/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,41,157.333333333333,Other,05/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,38,192.333333333333,Other,06/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,23,207.333333333333,Other,07/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,25,211.333333333333,Other,08/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,12,172.0,Other,09/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,12,139.666666666667,Other,10/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,31,212.0,Other,11/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,13,129.333333333333,Other,12/2021,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,13,145.333333333333,Other,01/2022,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,28,232.0,Other,02/2022,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,49,165.666666666667,Other,03/2022,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,44,136.666666666667,Other,04/2022,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10002,27,110.333333333333,Other,05/2022,10002,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1930,1737,2123,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1760,1584,1936,METRO35620MM5600,"New York, NY HUD Metro FMR Area",1650,1485,1815
10003,30,50.0,White,01/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,22,37.3333333333333,White,02/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,22,48.3333333333333,White,03/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,0,43.6666666666667,White,04/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,0,45.6666666666667,White,05/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,0,41.0,White,06/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,6,35.0,White,07/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,19,43.0,White,08/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,29,39.6666666666667,White,09/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,23,37.6666666666667,White,10/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,28,39.6666666666667,White,11/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,12,33.3333333333333,White,12/2020,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,1,50.0,White,01/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,0,36.3333333333333,White,02/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
10003,7,48.3333333333333,White,03/2021,10003,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3510,3159,3861,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3080,2772,3388,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2930,2637,3223
